Initial GenePool BestElite's Error Rate: 11.0%

   1-th training, BestElite's ErrorRate: 11.0%
1743-th training, BestElite's ErrorRate: 13.0%
1744-th training, BestElite's ErrorRate: 13.0%
1745-th training, BestElite's ErrorRate: 13.0%
1746-th training, BestElite's ErrorRate: 13.0%
1747-th training, BestElite's ErrorRate: 13.0%
1748-th training, BestElite's ErrorRate: 13.0%
1749-th training, BestElite's ErrorRate: 13.0%
1750-th training, BestElite's ErrorRate: 13.0%
1751-th training, BestElite's ErrorRate: 13.0%
1752-th training, BestElite's ErrorRate: 13.0%
1753-th training, BestElite's ErrorRate: 13.0%
1754-th training, BestElite's ErrorRate: 13.0%
1755-th training, BestElite's ErrorRate: 13.0%
1756-th training, BestElite's ErrorRate: 13.0%
1757-th training, BestElite's ErrorRate: 13.0%
1758-th training, BestElite's ErrorRate: 13.0%
1759-th training, BestElite's ErrorRate: 13.0%
1760-th training, BestElite's ErrorRate: 13.0%
1761-th training, BestElite's ErrorRate: 13.0%
1762-th training, BestElite's ErrorRate: 13.0%
1763-th training, BestElite's ErrorRate: 13.0%
1764-th training, BestElite's ErrorRate: 13.0%
1765-th training, BestElite's ErrorRate: 13.0%
1766-th training, BestElite's ErrorRate: 13.0%
1767-th training, BestElite's ErrorRate: 13.0%
1768-th training, BestElite's ErrorRate: 13.0%
1769-th training, BestElite's ErrorRate: 13.0%
1770-th training, BestElite's ErrorRate: 13.0%
1771-th training, BestElite's ErrorRate: 13.0%
1772-th training, BestElite's ErrorRate: 13.0%
1773-th training, BestElite's ErrorRate: 13.0%
1774-th training, BestElite's ErrorRate: 13.0%
1775-th training, BestElite's ErrorRate: 13.0%
1776-th training, BestElite's ErrorRate: 13.0%
1777-th training, BestElite's ErrorRate: 13.0%
1778-th training, BestElite's ErrorRate: 13.0%
1779-th training, BestElite's ErrorRate: 13.0%
1780-th training, BestElite's ErrorRate: 13.0%
1781-th training, BestElite's ErrorRate: 13.0%
1782-th training, BestElite's ErrorRate: 13.0%
1783-th training, BestElite's ErrorRate: 13.0%
1784-th training, BestElite's ErrorRate: 13.0%
1785-th training, BestElite's ErrorRate: 13.0%
1786-th training, BestElite's ErrorRate: 13.0%
1787-th training, BestElite's ErrorRate: 13.0%
1788-th training, BestElite's ErrorRate: 13.0%
1789-th training, BestElite's ErrorRate: 13.0%
1790-th training, BestElite's ErrorRate: 13.0%
1791-th training, BestElite's ErrorRate: 13.0%
1792-th training, BestElite's ErrorRate: 13.0%
1793-th training, BestElite's ErrorRate: 13.0%
1794-th training, BestElite's ErrorRate: 13.0%
1795-th training, BestElite's ErrorRate: 13.0%
1796-th training, BestElite's ErrorRate: 13.0%
1797-th training, BestElite's ErrorRate: 13.0%
1798-th training, BestElite's ErrorRate: 13.0%
1799-th training, BestElite's ErrorRate: 13.0%
1800-th training, BestElite's ErrorRate: 13.0%
1801-th training, BestElite's ErrorRate: 13.0%
1802-th training, BestElite's ErrorRate: 13.0%
1803-th training, BestElite's ErrorRate: 13.0%
1804-th training, BestElite's ErrorRate: 13.0%
1805-th training, BestElite's ErrorRate: 13.0%
1806-th training, BestElite's ErrorRate: 13.0%
1807-th training, BestElite's ErrorRate: 13.0%
1808-th training, BestElite's ErrorRate: 13.0%
1809-th training, BestElite's ErrorRate: 13.0%
1810-th training, BestElite's ErrorRate: 13.0%
1811-th training, BestElite's ErrorRate: 13.0%
1812-th training, BestElite's ErrorRate: 13.0%
1813-th training, BestElite's ErrorRate: 13.0%
1814-th training, BestElite's ErrorRate: 13.0%
1815-th training, BestElite's ErrorRate: 13.0%
1816-th training, BestElite's ErrorRate: 13.0%
1817-th training, BestElite's ErrorRate: 13.0%
1818-th training, BestElite's ErrorRate: 13.0%
1819-th training, BestElite's ErrorRate: 13.0%
1820-th training, BestElite's ErrorRate: 13.0%
1821-th training, BestElite's ErrorRate: 13.0%
1822-th training, BestElite's ErrorRate: 13.0%
1823-th training, BestElite's ErrorRate: 13.0%
1824-th training, BestElite's ErrorRate: 13.0%
1825-th training, BestElite's ErrorRate: 13.0%
1826-th training, BestElite's ErrorRate: 13.0%
1827-th training, BestElite's ErrorRate: 13.0%
1828-th training, BestElite's ErrorRate: 13.0%
1829-th training, BestElite's ErrorRate: 13.0%
1830-th training, BestElite's ErrorRate: 13.0%
1831-th training, BestElite's ErrorRate: 13.0%
1832-th training, BestElite's ErrorRate: 13.0%
1833-th training, BestElite's ErrorRate: 13.0%
1834-th training, BestElite's ErrorRate: 13.0%
1835-th training, BestElite's ErrorRate: 13.0%
1836-th training, BestElite's ErrorRate: 13.0%
1837-th training, BestElite's ErrorRate: 13.0%
1838-th training, BestElite's ErrorRate: 13.0%
1839-th training, BestElite's ErrorRate: 13.0%
1840-th training, BestElite's ErrorRate: 13.0%
1841-th training, BestElite's ErrorRate: 13.0%
1842-th training, BestElite's ErrorRate: 13.0%
1843-th training, BestElite's ErrorRate: 13.0%
1844-th training, BestElite's ErrorRate: 13.0%
1845-th training, BestElite's ErrorRate: 13.0%
1846-th training, BestElite's ErrorRate: 13.0%
1847-th training, BestElite's ErrorRate: 13.0%
1848-th training, BestElite's ErrorRate: 13.0%
1849-th training, BestElite's ErrorRate: 13.0%
1850-th training, BestElite's ErrorRate: 13.0%
1851-th training, BestElite's ErrorRate: 13.0%
1852-th training, BestElite's ErrorRate: 13.0%
1853-th training, BestElite's ErrorRate: 13.0%
1854-th training, BestElite's ErrorRate: 13.0%
1855-th training, BestElite's ErrorRate: 13.0%
1856-th training, BestElite's ErrorRate: 13.0%
1857-th training, BestElite's ErrorRate: 13.0%
1858-th training, BestElite's ErrorRate: 13.0%
1859-th training, BestElite's ErrorRate: 13.0%
1860-th training, BestElite's ErrorRate: 13.0%
1861-th training, BestElite's ErrorRate: 13.0%
1862-th training, BestElite's ErrorRate: 13.0%
1863-th training, BestElite's ErrorRate: 13.0%
1864-th training, BestElite's ErrorRate: 13.0%
1865-th training, BestElite's ErrorRate: 13.0%
1866-th training, BestElite's ErrorRate: 13.0%
1867-th training, BestElite's ErrorRate: 13.0%
1868-th training, BestElite's ErrorRate: 13.0%
1869-th training, BestElite's ErrorRate: 13.0%
1870-th training, BestElite's ErrorRate: 13.0%
1871-th training, BestElite's ErrorRate: 13.0%
1872-th training, BestElite's ErrorRate: 13.0%
1873-th training, BestElite's ErrorRate: 13.0%
1874-th training, BestElite's ErrorRate: 13.0%
1875-th training, BestElite's ErrorRate: 13.0%
1876-th training, BestElite's ErrorRate: 13.0%
1877-th training, BestElite's ErrorRate: 13.0%
1878-th training, BestElite's ErrorRate: 13.0%
1879-th training, BestElite's ErrorRate: 13.0%
1880-th training, BestElite's ErrorRate: 13.0%
1881-th training, BestElite's ErrorRate: 13.0%
1882-th training, BestElite's ErrorRate: 13.0%
1883-th training, BestElite's ErrorRate: 13.0%
1884-th training, BestElite's ErrorRate: 13.0%
1885-th training, BestElite's ErrorRate: 13.0%
1886-th training, BestElite's ErrorRate: 13.0%
1887-th training, BestElite's ErrorRate: 13.0%
1888-th training, BestElite's ErrorRate: 13.0%
1889-th training, BestElite's ErrorRate: 10.0%
1890-th training, BestElite's ErrorRate: 10.0%
1891-th training, BestElite's ErrorRate: 10.0%
1892-th training, BestElite's ErrorRate: 10.0%
1893-th training, BestElite's ErrorRate: 10.0%
1894-th training, BestElite's ErrorRate: 10.0%
1895-th training, BestElite's ErrorRate: 10.0%
1896-th training, BestElite's ErrorRate: 10.0%
1897-th training, BestElite's ErrorRate: 10.0%
1898-th training, BestElite's ErrorRate: 10.0%
1899-th training, BestElite's ErrorRate: 10.0%
1900-th training, BestElite's ErrorRate: 10.0%
1901-th training, BestElite's ErrorRate: 10.0%
1902-th training, BestElite's ErrorRate: 10.0%
1903-th training, BestElite's ErrorRate: 10.0%
1904-th training, BestElite's ErrorRate: 10.0%
1905-th training, BestElite's ErrorRate: 10.0%
1906-th training, BestElite's ErrorRate: 10.0%
1907-th training, BestElite's ErrorRate: 10.0%
1908-th training, BestElite's ErrorRate: 10.0%
1909-th training, BestElite's ErrorRate: 10.0%
1910-th training, BestElite's ErrorRate: 10.0%
1911-th training, BestElite's ErrorRate: 10.0%
1912-th training, BestElite's ErrorRate: 10.0%
1913-th training, BestElite's ErrorRate: 10.0%
1914-th training, BestElite's ErrorRate: 10.0%
1915-th training, BestElite's ErrorRate: 10.0%
1916-th training, BestElite's ErrorRate: 10.0%
1917-th training, BestElite's ErrorRate: 10.0%
1918-th training, BestElite's ErrorRate: 10.0%
1919-th training, BestElite's ErrorRate: 10.0%
1920-th training, BestElite's ErrorRate: 10.0%
1921-th training, BestElite's ErrorRate: 10.0%
1922-th training, BestElite's ErrorRate: 10.0%
1923-th training, BestElite's ErrorRate: 10.0%
1924-th training, BestElite's ErrorRate: 10.0%
1925-th training, BestElite's ErrorRate: 10.0%
1926-th training, BestElite's ErrorRate: 10.0%
1927-th training, BestElite's ErrorRate: 10.0%
1928-th training, BestElite's ErrorRate: 10.0%
1929-th training, BestElite's ErrorRate: 10.0%
1930-th training, BestElite's ErrorRate: 10.0%
1931-th training, BestElite's ErrorRate: 10.0%
1932-th training, BestElite's ErrorRate: 10.0%
1933-th training, BestElite's ErrorRate: 10.0%
1934-th training, BestElite's ErrorRate: 10.0%
1935-th training, BestElite's ErrorRate: 10.0%
1936-th training, BestElite's ErrorRate: 10.0%
1937-th training, BestElite's ErrorRate: 10.0%
1938-th training, BestElite's ErrorRate: 10.0%
1939-th training, BestElite's ErrorRate: 10.0%
1940-th training, BestElite's ErrorRate: 10.0%
1941-th training, BestElite's ErrorRate: 10.0%
1942-th training, BestElite's ErrorRate: 10.0%
1943-th training, BestElite's ErrorRate: 10.0%
1944-th training, BestElite's ErrorRate: 10.0%
1945-th training, BestElite's ErrorRate: 10.0%
1946-th training, BestElite's ErrorRate: 10.0%
1947-th training, BestElite's ErrorRate: 10.0%
1948-th training, BestElite's ErrorRate: 10.0%
1949-th training, BestElite's ErrorRate: 10.0%
1950-th training, BestElite's ErrorRate: 10.0%
1951-th training, BestElite's ErrorRate: 10.0%
1952-th training, BestElite's ErrorRate: 10.0%
1953-th training, BestElite's ErrorRate: 13.0%
1954-th training, BestElite's ErrorRate: 13.0%
1955-th training, BestElite's ErrorRate: 13.0%
1956-th training, BestElite's ErrorRate: 13.0%
1957-th training, BestElite's ErrorRate: 13.0%
1958-th training, BestElite's ErrorRate: 13.0%
1959-th training, BestElite's ErrorRate: 13.0%
1960-th training, BestElite's ErrorRate: 13.0%
1961-th training, BestElite's ErrorRate: 13.0%
1962-th training, BestElite's ErrorRate: 13.0%
1963-th training, BestElite's ErrorRate: 13.0%
1964-th training, BestElite's ErrorRate: 13.0%
1965-th training, BestElite's ErrorRate: 13.0%
1966-th training, BestElite's ErrorRate: 13.0%
1967-th training, BestElite's ErrorRate: 13.0%
1968-th training, BestElite's ErrorRate: 13.0%
1969-th training, BestElite's ErrorRate: 13.0%
1970-th training, BestElite's ErrorRate: 13.0%
1971-th training, BestElite's ErrorRate: 13.0%
1972-th training, BestElite's ErrorRate: 13.0%
1973-th training, BestElite's ErrorRate: 13.0%
1974-th training, BestElite's ErrorRate: 13.0%
1975-th training, BestElite's ErrorRate: 13.0%
1976-th training, BestElite's ErrorRate: 13.0%
1977-th training, BestElite's ErrorRate: 13.0%
1978-th training, BestElite's ErrorRate: 13.0%
1979-th training, BestElite's ErrorRate: 13.0%
1980-th training, BestElite's ErrorRate: 13.0%
1981-th training, BestElite's ErrorRate: 13.0%
1982-th training, BestElite's ErrorRate: 13.0%
1983-th training, BestElite's ErrorRate: 13.0%
1984-th training, BestElite's ErrorRate: 13.0%
1985-th training, BestElite's ErrorRate: 13.0%
1986-th training, BestElite's ErrorRate: 13.0%
1987-th training, BestElite's ErrorRate: 13.0%
1988-th training, BestElite's ErrorRate: 13.0%
1989-th training, BestElite's ErrorRate: 13.0%
1990-th training, BestElite's ErrorRate: 13.0%
1991-th training, BestElite's ErrorRate: 13.0%
1992-th training, BestElite's ErrorRate: 13.0%
1993-th training, BestElite's ErrorRate: 13.0%
1994-th training, BestElite's ErrorRate: 13.0%
1995-th training, BestElite's ErrorRate: 13.0%
1996-th training, BestElite's ErrorRate: 13.0%
1997-th training, BestElite's ErrorRate: 13.0%
1998-th training, BestElite's ErrorRate: 13.0%
1999-th training, BestElite's ErrorRate: 13.0%
2000-th training, BestElite's ErrorRate: 13.0%

Final Result (124-th generation): 9.0% -> [0.9676187072344007, -5.4699901369821475, -13.878985023884127]

